Source,Type,Target,Weight
Некто,Undirected,Пристав,1
Некто,Undirected,Прохожие,1
Некто,Undirected,Пьяница,1
Некто,Undirected,Славодей,1
Некто,Undirected,Снегей,1
Некто,Undirected,Снежимочка,1
Некто,Undirected,Старуха,1
Некто,Undirected,Ученый,1
Некто,Undirected,Ховун,1
Немини,Undirected,Няня-леший,1
Немини,Undirected,Рында,1
Немини,Undirected,Сказчич-Морочич,1
Немини,Undirected,Слепини,1
Немини,Undirected,Смехини,1
Немини,Undirected,Снегомужье,1
Немини,Undirected,Снегун,1
Немини,Undirected,Снегчие,1
Немини,Undirected,Снежак,1
Немини,Undirected,Снежачиха,1
Немини,Undirected,Снежные мамки,1
Немини,Undirected,Снезини,1
Немини,Undirected,Старушка-докладчица,1
Нищий,Undirected,Отставший спутник,1
Нищий,Undirected,Пристав,1
Нищий,Undirected,Прохожие,1
Нищий,Undirected,Пьяница,1
Нищий,Undirected,Славодей,1
Нищий,Undirected,Снегей,1
Нищий,Undirected,Снежимочка,1
Нищий,Undirected,Старуха,1
Нищий,Undirected,Ученый,1
Нищий,Undirected,Ховун,1
Новые голоса удаляющихся,Undirected,Рокот,1
Новые голоса удаляющихся,Undirected,Руководитель игры,1
Новые голоса удаляющихся,Undirected,Руководитель празднества,1
Новые голоса удаляющихся,Undirected,Старец,1
Няня-леший,Undirected,Рында,1
Няня-леший,Undirected,Сказчич-Морочич,1
Няня-леший,Undirected,Слепини,1
Няня-леший,Undirected,Смехини,1
Няня-леший,Undirected,Снегомужье,1
Няня-леший,Undirected,Снегун,1
Няня-леший,Undirected,Снегчие,1
Няня-леший,Undirected,Снежак,1
Няня-леший,Undirected,Снежачиха,1
Няня-леший,Undirected,Снежные мамки,1
Няня-леший,Undirected,Снезини,1
Няня-леший,Undirected,Старушка-докладчица,1
Отставший спутник,Undirected,Пристав,1
Отставший спутник,Undirected,Прохожие,1
Отставший спутник,Undirected,Пьяница,1
Отставший спутник,Undirected,Славодей,1
Отставший спутник,Undirected,Снегей,1
Отставший спутник,Undirected,Снежимочка,1
Отставший спутник,Undirected,Старуха,1
Отставший спутник,Undirected,Ученый,1
Отставший спутник,Undirected,Ховун,1
Печальный леший,Undirected,Снегири,1
Печальный леший,Undirected,Снежак,1
Пристав,Undirected,Прохожие,1
Пристав,Undirected,Пьяница,1
Пристав,Undirected,Славодей,1
Пристав,Undirected,Снегей,1
Пристав,Undirected,Снежимочка,1
Пристав,Undirected,Старуха,1
Пристав,Undirected,Ученый,1
Пристав,Undirected,Ховун,1
Прохожие,Undirected,Пьяница,1
Прохожие,Undirected,Славодей,1
Прохожие,Undirected,Снегей,1
Прохожие,Undirected,Снежимочка,1
Прохожие,Undirected,Старуха,1
Прохожие,Undirected,Ученый,1
Прохожие,Undirected,Ховун,1
Пьяница,Undirected,Славодей,1
Пьяница,Undirected,Снегей,1
Пьяница,Undirected,Снежимочка,1
Пьяница,Undirected,Старуха,1
Пьяница,Undirected,Ученый,1
Пьяница,Undirected,Ховун,1
Рокот,Undirected,Руководитель игры,1
Рокот,Undirected,Руководитель празднества,1
Рокот,Undirected,Старец,1
Руководитель игры,Undirected,Руководитель празднества,1
Руководитель игры,Undirected,Старец,1
Руководитель празднества,Undirected,Старец,1
Рында,Undirected,Сказчич-Морочич,1
Рында,Undirected,Слепини,1
Рында,Undirected,Смехини,1
Рында,Undirected,Снегомужье,1
Рында,Undirected,Снегун,1
Рында,Undirected,Снегчие,1
Рында,Undirected,Снежак,1
Рында,Undirected,Снежачиха,1
Рында,Undirected,Снежные мамки,1
Рында,Undirected,Снезини,1
Рында,Undirected,Старушка-докладчица,1
Сказчич-Морочич,Undirected,Слепини,1
Сказчич-Морочич,Undirected,Смехини,1
Сказчич-Морочич,Undirected,Снегомужье,1
Сказчич-Морочич,Undirected,Снегун,1
Сказчич-Морочич,Undirected,Снегчие,1
Сказчич-Морочич,Undirected,Снежак,1
Сказчич-Морочич,Undirected,Снежачиха,1
Сказчич-Морочич,Undirected,Снежные мамки,1
Сказчич-Морочич,Undirected,Снезини,1
Сказчич-Морочич,Undirected,Старушка-докладчица,1
Славодей,Undirected,Снегей,1
Славодей,Undirected,Снежимочка,1
Славодей,Undirected,Старуха,1
Славодей,Undirected,Ученый,1
Славодей,Undirected,Ховун,1
Слепини,Undirected,Смехини,1
Слепини,Undirected,Снегомужье,1
Слепини,Undirected,Снегун,1
Слепини,Undirected,Снегчие,1
Слепини,Undirected,Снежак,1
Слепини,Undirected,Снежачиха,1
Слепини,Undirected,Снежные мамки,1
Слепини,Undirected,Снезини,1
Слепини,Undirected,Старушка-докладчица,1
